"nr";"memo";"materiaal";"bijzonderheden";"omschrijving";"korte_omschrijving";"aub";"hoofd_aanvraag";"soort";"groep";"selectie";"versie_opname";"versie_mutatie";"versie_vervallen";"toelichting";"vraag_type";"decimalen";"eenheid";"abs_min";"abs_max";"ref_min";"ref_max";"antwoordenlijst";"formule";"materiaal_info";"bijzonderheden_info";"aub_info";"groep_info";"formule_uitleg"
1651;"DMP";"TZ";"";"(aanvullende gegevens) plan (DM2)";"";"B";"";"P";"ZP";"4";7;NA;NA;"U kunt hier informatie vastleggen over onderdelen die niet in het protocol zijn opgenomen evenals aanvullingen op de informatie die u via de standaardonderdelen hebt vastgelegd.";"VT";NA;"";NA;NA;NA;NA;"";NA;"endocriene klieren/metabolisme, zorgproc";NA;"Beide";"zorgproces";NA
2049;"ANAO";"KQ";"";"(doorgemaakt) aneurysma aortae (comorb)";"";"B";"";"P";"CO";"4";9;NA;NA;"Dit gegeven betreft de (eventueel elders) vastgestelde diagnose (doorgemaakt) aneurysma aortae.";"EK";NA;"";NA;NA;NA;1;"48 - nee/ja/onduidelijk";NA;"hartvaatstelsel, anamnese/plan";NA;"Beide";"comorbiditeit";NA
445;"HCZI";"B";"";"10-hydroxycarbazepine";"HO-carbaz";"B";"";"L";"FT";"4";5;15;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"farmacologie/toxicologie";NA
3168;"HAND";"U";"";"11-hydroxyanodrosteron urine";"hydoxandu";"B";"";"L";"KC";"4";16;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine";NA;"Beide";"klinische chemie";NA
3169;"HAND";"UE";"";"11-hydroxyanodrosteron urine 24u";"hydoxau24";"B";"";"L";"KC";"4";16;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine 24 uurs";NA;"Beide";"klinische chemie";NA
3170;"HETI";"U";"";"11-hydroxyetiocholanon urine";"hydoxetiu";"B";"";"L";"KC";"4";16;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine";NA;"Beide";"klinische chemie";NA
3171;"HETI";"UE";"";"11-hydroxyetiocholanon urine 24u";"hyoxetu24";"B";"";"L";"KC";"4";16;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine 24 uurs";NA;"Beide";"klinische chemie";NA
3172;"KAND";"U";"";"11-ketoandrosteron urine";"ketoandur";"B";"";"L";"KC";"4";16;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine";NA;"Beide";"klinische chemie";NA
3173;"KAND";"UE";"";"11-ketoandrosteron urine 24u";"ketoanu24";"B";"";"L";"KC";"4";16;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine 24 uurs";NA;"Beide";"klinische chemie";NA
3174;"KETI";"U";"";"11-ketoetiocholanon urine";"ketoetiur";"B";"";"L";"KC";"4";16;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine";NA;"Beide";"klinische chemie";NA
3175;"KETI";"UE";"";"11-ketoetiocholanon urine 24u";"ketoetu24";"B";"";"L";"KC";"4";16;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine 24 uurs";NA;"Beide";"klinische chemie";NA
2130;"UREU";"RU";"";"13C ureum ademtest";"ureumadem";"B";"";"D";"FO";"3";8;NA;NA;NA;"EK";NA;"";NA;NA;NA;1;"22 - negatief/positief";NA;"uitgeademde lucht";NA;"Beide";"functie onderzoek";NA
2658;"RR24";"KA";"MH";"24-uurs bloeddrukmeting";"RR24uurs";"A";"";"D";"BM";"3";11;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"hartvaatstelsel, algemeen";"meting: thuismeting";"Aanvraag";"biometrie";NA
3894;"3IQI";"UA";"";"3IQ vragenlijst urine incontinentie";"3IQIncont";"B";"";"D";"AA";"3";28;NA;NA;"3IQ = 3 incontinence questions";"EK";NA;"";NA;NA;NA;NA;"184 - 3IQ urine incontinentie";NA;"urinewegen, algemeen";NA;"Beide";"anamnese";NA
2811;"4DAN";"PQ";"";"4DKL angstscore";"4DKLangst";"B";"";"D";"AA";"3";14;30;NA;"Score van 0 t/m 24. De Vierdimensionale Klachtenlijst (4DKL) is een instrument voor de vaststelling van distress, depressie, angst en somatisatie, ontwikkeld in de praktijk door B. Terluin, huisarts te Almere. De 4DKL bevat 12 items voor angst.";"NM";0;"";0;24;NA;3;"";NA;"psychische problemen, anamnese/plan";NA;"Beide";"anamnese";NA
2812;"4DDE";"PQ";"";"4DKL depressie-score";"4DKLdepr";"B";"";"D";"AA";"3";14;30;NA;"Score van 0 t/m 12. De Vierdimensionale Klachtenlijst (4DKL) is een instrument voor de vaststelling van distress, depressie, angst en somatisatie, ontwikkeld in de praktijk door B. Terluin, huisarts te Almere. De 4DKL bevat 6 items voor depressie.";"NM";0;"";0;12;NA;2;"";NA;"psychische problemen, anamnese/plan";NA;"Beide";"anamnese";NA
2813;"4DDI";"PQ";"";"4DKL distress-score";"4DKLdistr";"B";"";"D";"AA";"3";14;30;NA;"Score van 0 t/m 32. De Vierdimensionale Klachtenlijst (4DKL) is een instrument voor de vaststelling van distress, depressie, angst en somatisatie, ontwikkeld in de praktijk door B. Terluin, huisarts te Almere. De 4DKL bevat 16 items voor distress.";"NM";0;"";0;32;NA;10;"";NA;"psychische problemen, anamnese/plan";NA;"Beide";"anamnese";NA
2814;"4DSO";"PQ";"";"4DKL somatisatie-score";"4DKLsomat";"B";"";"D";"AA";"3";14;30;NA;"Score van 0 t/m 32. De Vierdimensionale Klachtenlijst (4DKL) is een instrument voor de vaststelling van distress, depressie, angst en somatisatie, ontwikkeld in de praktijk door B. Terluin, huisarts te Almere. De 4DKL bevat 16 items voor somatisatie.";"NM";0;"";0;32;NA;10;"";NA;"psychische problemen, anamnese/plan";NA;"Beide";"anamnese";NA
3230;"HIAA";"U";"";"5-hydroxyindolazijnzuur urine";"5HIAA ur";"B";"";"L";"KC";"4";16;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine";NA;"Beide";"klinische chemie";NA
459;"HIAA";"UE";"MT";"5-hydroxyindolazijnzuur urine 24u";"5HIAA u24";"B";"";"L";"KC";"4";1;13;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine 24 uurs";"meting: totaal";"Beide";"klinische chemie";NA
458;"HIAA";"U";"MI";"5-hydroxyindolazijnzuur urine per creat";"5HIAA/cr";"B";"";"L";"KC";"4";4;37;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine";"meting: index, quotiënt, ratio";"Beide";"klinische chemie";NA
2720;"6MTW";"A";"";"6 minuten looptest";"6MTW";"B";"";"D";"FO";"4";13;NA;NA;"De Zes minuten looptest (6-MWT) is de afstand die de proefpersoon in zes minuten wandelen kan afleggen en daarmee een maat voor de conditie van oudere patiënten.";"NM";0;"m";NA;NA;NA;NA;"";NA;"algemeen";NA;"Beide";"functie onderzoek";NA
3289;"9HRS";"B";"SI";"9-hydroxy-risperidon/paliperidon";"9-hydrisp";"B";"";"L";"FT";"4";18;41;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"spiegel na inname/injectie";"Beide";"farmacologie/toxicologie";NA
1768;"WATV";"NS";"LI";"aanrakingszin watje linkervoet";"watje lv";"B";"";"D";"FO";"2";7;8;NA;NA;"EK";NA;"";NA;NA;NA;1;"53 - normaal/afwijkend/onduidelijk";NA;"sensibiliteit";"links";"Beide";"functie onderzoek";NA
1769;"WATV";"NS";"RE";"aanrakingszin watje rechtervoet";"watje rv";"B";"";"D";"FO";"2";7;8;NA;NA;"EK";NA;"";NA;NA;NA;1;"53 - normaal/afwijkend/onduidelijk";NA;"sensibiliteit";"rechts";"Beide";"functie onderzoek";NA
1886;"KIND";"AQ";"";"aantal (nog levende) kinderen (progenit)";"prognenit";"B";"";"D";"AA";"2";7;23;NA;"Geef hier het aantal in leven zijnde kinderen aan, waarvan de vrouw de natuurlijke moeder is, het verloskundige begrip 'progenituur'.";"NM";0;"";0;NA;NA;NA;"";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
1992;"SIPD";"AQ";"";"aantal (shag)sigaretten per dag (roken)";"antsigart";"B";"";"D";"AA";"2";8;20;NA;NA;"NM";0;"stuks";0;199;NA;NA;"";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
2419;"5SH2";"PQ";"";"aantal alcoh. dranken op dag (FiveShot2)";"";"B";"";"P";"AA";"4";11;NA;NA;"Vraag 2 uit Five-Shot-vragenlijst: Hoeveel alcoholische dranken gebruikt u op een typische dag waarop u alcohol drinkt?";"EK";NA;"";NA;NA;NA;NA;"105 - fiveshot vraag 2";NA;"psychische problemen, anamnese/plan";NA;"Beide";"anamnese";NA
102;"BATC";"UD";"";"aantal bacteriën (uricult)";"antbact";"U";"URIC";"L";"BA";"U";6;7;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine dipslide";NA;"Uitslag";"bacteriologie";NA
1885;"PART";"WQ";"";"aantal bevallingen (para)";"partus";"B";"";"D";"AA";"2";7;23;NA;"Het aantal doorgemaakte bevallingen, zoals gebruikelijk in de verloskunde wordt aangegeven met de aanduiding 'Para'. Een bevalling geldt als bevalling vanaf een zwangerschapsduur van 16 weken.";"NM";0;"";0;NA;NA;NA;"";NA;"zwangerschap/anticonceptie,anamnese/plan";NA;"Beide";"anamnese";NA
1805;"WERK";"AQ";"";"aantal dagen werk/school per week";"";"B";"";"P";"AA";"4";7;NA;NA;"Dit gegeven is o.a. nodig voor het berekenen van verzuim t.o.v. de aanstelling, zoals in het astma protocol.";"NM";1;"dagen";0;7;NA;NA;"";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
3822;"ESPD";"AQ";"";"aantal e-sigaretten per dag (roken)";"aante-sig";"B";"";"D";"AA";"2";26;NA;NA;NA;"NM";0;"stuks";0;199;NA;NA;"";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
3658;"CAFA";"AQ";"";"aantal eenheden cafeïne (koffie) per dag";"aantkoff";"B";"";"D";"AA";"3";23;NA;NA;"Geef hier het geschatte aantal eenheden cafeïne gebruik per dag op: kop koffie = 1, mok koffie =1,5, kop thee = 0,5 , glas cola of ijsthee = 0,25, blikje energiedrank = 1";"NM";1;"";0;NA;NA;NA;"";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
3930;"CAIA";"AQ";"";"aantal eenheden calciuminname per dag";"antCalc";"B";"";"D";"AA";"2";29;NA;NA;"Geef hier aan hoeveel calciumhoudende consumpties patiënt per dag inneemt. Een calciumhoudende consumptie/eenheid is een glas melk, yoghurt of vla (150 ml) of een broodbelegging met kaas (20 gram).";"NM";0;"";NA;NA;4;NA;"";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
1991;"ROJA";"AQ";"";"aantal jaren gerookt";"rookjaren";"B";"";"D";"AA";"2";8;NA;NA;"Bereken dit uit de huidige leeftijd dan wel de leeftijd bij stopdatum minus de startleeftijd. Trek daar bovendien de tijd vanaf die de patiënt eventueel tussendoor gestopt is geweest voor zover die tijd (opgeteld) langer is dan een jaar.";"NM";1;"jaren";0;120;NA;NA;"";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
3549;"COAE";"RQ";"";"aantal longaanvallenCOPD/astma in 12 mnd";"antexaCOa";"B";"";"D";"AA";"2";21;35;NA;"Tel het aantal ernstige longaanvallen in de afgelopen 12 maanden. Dit betreft longaanvallen waarvoor een orale corticosteroïdkuur (al dan niet gecombineerd met antibiotica) of een ziekenhuisopname noodzakelijk was.";"NM";0;"";0;99;NA;1;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
2773;"AVAL";"AQ";"";"aantal malen gevallen in afgelopen jaar";"";"B";"";"P";"AA";"4";14;NA;NA;NA;"EK";NA;"";NA;NA;NA;2;"122 - vallen";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
2014;"PPPD";"AQ";"";"aantal pijpen roken per dag";"aant pijp";"B";"";"D";"AA";"2";8;NA;NA;NA;"NM";0;"stuks";0;99;NA;NA;"";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
1993;"SGPD";"AQ";"";"aantal sigaren per dag (roken)";"antsigarn";"B";"";"D";"AA";"2";8;20;NA;NA;"NM";0;"stuks";0;99;NA;NA;"";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
1997;"STPG";"AQ";"";"aantal stoppogingen (roken)";"aantstop";"B";"";"D";"AA";"2";8;NA;NA;NA;"NM";0;"";0;NA;NA;NA;"";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
2790;"WMPW";"AQ";"";"aantal warme maaltijden per week";"";"B";"";"P";"AA";"4";14;NA;NA;NA;"EK";NA;"";NA;NA;NA;1;"125 - 4 of meer/1 tot 3/onduidelijk";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
1884;"GRAV";"WQ";"";"aantal zwangerschappen (gravida)";"gravida";"B";"";"D";"AA";"2";7;23;NA;"Het aantal doorgemaakte zwangerschappen, zoals gebruikelijk in de verloskunde wordt aangegeven met de aanduiding 'Gravida'.";"NM";0;"";0;NA;NA;NA;"";NA;"zwangerschap/anticonceptie,anamnese/plan";NA;"Beide";"anamnese";NA
1772;"ACO";"RQ";"";"aanvul.geg. anamnese/onderz.(astma/COPD)";"";"B";"";"P";"AA";"4";7;NA;NA;"U kunt hier informatie vastleggen over onderdelen die niet in het protocol zijn opgenomen evenals aanvullingen op de informatie die u via de standaardonderdelen hebt vastgelegd.";"VT";NA;"";NA;NA;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
2859;"HVSO";"KZ";"";"aanvullende geg. anamn/onderz (CVRM)";"";"B";"";"P";"AA";"4";15;21;NA;"U kunt hier informatie vastleggen over onderdelen die niet in het protocol zijn opgenomen evenals aanvullingen op de informatie die u via de standaardonderdelen hebt vastgelegd.";"VT";NA;"";NA;NA;NA;NA;"";NA;"hartvaatstelsel, zorgproces";NA;"Beide";"anamnese";NA
3244;"HFO";"KQ";"";"aanvullende geg. anamn/onderz(hartfalen)";"";"B";"";"P";"AA";"4";17;NA;NA;"U kunt hier informatie vastleggen over onderdelen die niet in het protocol zijn opgenomen evenals aanvullingen op de informatie die u via de standaardonderdelen hebt vastgelegd.";"VT";NA;"";NA;NA;NA;NA;"";NA;"hartvaatstelsel, anamnese/plan";NA;"Beide";"anamnese";NA
1777;"COO";"RQ";"";"aanvullende geg. anamnese/onderz. (COPD)";"";"B";"";"P";"AA";"4";7;NA;NA;"U kunt hier informatie vastleggen over onderdelen die niet in het protocol zijn opgenomen evenals aanvullingen op de informatie die u via de standaardonderdelen hebt vastgelegd.";"VT";NA;"";NA;NA;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
1612;"ASO";"RQ";"";"aanvullende geg. anamnese/onderz.(astma)";"";"B";"";"P";"AA";"4";7;NA;NA;"U kunt hier informatie vastleggen over onderdelen die niet in het protocol zijn opgenomen evenals aanvullingen op de informatie die u via de standaardonderdelen hebt vastgelegd.";"VT";NA;"";NA;NA;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
1650;"DMO";"TQ";"";"aanvullende geg. anamnese/onderzoek(DM2)";"";"B";"";"P";"AA";"4";7;NA;NA;"U kunt hier informatie vastleggen over onderdelen die niet in het protocol zijn opgenomen evenals aanvullingen op de informatie die u via de standaardonderdelen hebt vastgelegd.";"VT";NA;"";NA;NA;NA;NA;"";NA;"endocriene klieren/metab., anamnese/plan";NA;"Beide";"anamnese";NA
1611;"OPMF";"RL";"";"aanvullende geg. longfunctieonderzoek";"aanvlongf";"B";"";"D";"FO";"2";7;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"long";NA;"Beide";"functie onderzoek";NA
2784;"OZO";"AQ";"";"aanvullende geg.anamnese/onderz(ouderen)";"";"B";"";"P";"AA";"4";14;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
2786;"OZE";"AZ";"";"aanvullende gegevens evaluatie (ouderen)";"";"B";"";"P";"ZP";"4";14;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"algemeen, zorgproces";NA;"Beide";"zorgproces";NA
3479;"GGP";"PZ";"";"aanvullende gegevens plan (GGZ)";"";"B";"";"P";"ZP";"4";20;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"psychische problemen, zorgproces";NA;"Beide";"zorgproces";NA
3251;"HFPE";"KZ";"";"aanvullende gegevens plan (hartfalen)";"";"B";"";"P";"ZP";"4";17;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"hartvaatstelsel, zorgproces";NA;"Beide";"zorgproces";NA
2789;"OZP";"AZ";"";"aanvullende gegevens plan (ouderenzorg)";"";"B";"";"P";"ZP";"4";14;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"algemeen, zorgproces";NA;"Beide";"zorgproces";NA
2018;"RSO";"AQ";"";"aanvullende gegevens rookstatus";"";"B";"";"P";"AA";"4";8;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
2021;"SRO";"AQ";"";"aanvullende gegevens stoppen met roken";"";"B";"";"P";"AA";"4";8;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"algemeen, anamnese/plan";NA;"Beide";"anamnese";NA
2785;"AWKW";"AZ";"";"aanwijzingen kwetsbaarheid (ouderenzorg)";"";"B";"";"P";"ZP";"4";14;NA;NA;"Ieder gebied waarop in de korte screening van de opsporing van ouderenzorg een mogelijk probleem wordt geconstateerd geldt als aanwijzing voor kwetsbaarheid.";"EK";NA;"";NA;NA;NA;1;"21 - nee/ja";NA;"algemeen, zorgproces";NA;"Beide";"zorgproces";NA
3591;"OSAB";"LQ";"";"aard bijwerking(en) medic(osteop/fracpr)";"";"B";"";"P";"TH";"4";22;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"bewegingsapparaat, anamnese/plan";NA;"Beide";"therapie";NA
3020;"ROAB";"AQ";"";"aard bijwerking(en) medic(stoppen roken)";"";"B";"";"P";"TH";"4";16;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"algemeen, anamnese/plan";NA;"Beide";"therapie";NA
3018;"ASAB";"RQ";"";"aard bijwerking(en) medicatie (astma)";"";"B";"";"P";"TH";"4";16;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"therapie";NA
3019;"COAB";"RQ";"";"aard bijwerking(en) medicatie (COPD)";"";"B";"";"P";"TH";"4";16;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"therapie";NA
3021;"HVAB";"KQ";"";"aard bijwerking(en) medicatie (CVRM)";"";"B";"";"P";"TH";"4";16;21;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"hartvaatstelsel, anamnese/plan";NA;"Beide";"therapie";NA
2451;"DMAD";"TQ";"";"aard bijwerking(en) medicatie (DM2)";"";"B";"";"P";"TH";"4";11;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"endocriene klieren/metab., anamnese/plan";NA;"Beide";"therapie";NA
3478;"GGAD";"PQ";"";"aard bijwerking(en) medicatie (GGZ)";"";"B";"";"P";"TH";"4";20;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"psychische problemen, anamnese/plan";NA;"Beide";"therapie";NA
3190;"DCAB";"KQ";"";"aard bijwerking(en) medicatie(hartfalen)";"";"B";"";"P";"TH";"4";16;NA;NA;NA;"VT";NA;"";NA;NA;NA;NA;"";NA;"hartvaatstelsel, anamnese/plan";NA;"Beide";"therapie";NA
1597;"ASAC";"RZ";"";"aard van het consult (astma)";"";"B";"";"P";"ZP";"4";7;35;NA;"Kies voor 'longaanval' als de patiënt zich buiten een afgesproken controle meldt wegens een toename van de klachten.";"EK";NA;"";NA;NA;NA;NA;"26 - controle/longaanval";NA;"luchtwegen, zorgproces";NA;"Beide";"zorgproces";NA
1782;"COAC";"RZ";"";"aard van het consult (COPD)";"";"B";"";"P";"ZP";"4";7;35;NA;"Kies voor 'longaanval' als de patiënt zich buiten een afgesproken controle meldt wegens een toename van de klachten.";"EK";NA;"";NA;NA;NA;NA;"26 - controle/longaanval";NA;"luchtwegen, zorgproces";NA;"Beide";"zorgproces";NA
1771;"DMAC";"TZ";"";"aard van het consult (DM2)";"";"B";"";"P";"ZP";"4";7;NA;NA;NA;"EK";NA;"";NA;NA;NA;NA;"32 - driemaandelijks/jaarcontrole";NA;"endocriene klieren/metabolisme, zorgproc";NA;"Beide";"zorgproces";NA
2047;"ROAC";"AZ";"";"aard van het consult (roken)";"";"B";"";"P";"ZP";"4";8;NA;NA;NA;"EK";NA;"";NA;NA;NA;NA;"71 - kort consult/uitgebreid consul";NA;"algemeen, zorgproces";NA;"Beide";"zorgproces";NA
6;"ACOU";"B";"";"acenocoumarol (Sintrom)";"acenocoum";"B";"";"L";"FT";"3";4;5;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"farmacologie/toxicologie";NA
2913;"ACRI";"B";"";"acetylcholinereceptor antistoffen";"acetChRas";"B";"";"L";"IM";"4";15;20;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
5;"ACHO";"B";"";"acetylcholinesterase";"ac cholin";"B";"";"L";"KC";"4";1;5;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"klinische chemie";NA
1587;"ACHR";"NR";"LI";"achillespeesreflex linkervoet";"achref lv";"B";"";"D";"FO";"2";7;15;NA;NA;"EK";NA;"";NA;NA;NA;1;"137 - reflexen";NA;"reflexen";"links";"Beide";"functie onderzoek";NA
1588;"ACHR";"NR";"RE";"achillespeesreflex rechtervoet";"achref rv";"B";"";"D";"FO";"2";7;15;NA;NA;"EK";NA;"";NA;NA;NA;1;"137 - reflexen";NA;"reflexen";"rechts";"Beide";"functie onderzoek";NA
75;"APTT";"B";"";"activ. partial tromboplastinetijd (APTT)";"APTT";"B";"";"L";"ST";"1";1;6;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"stollingslab";NA
2;"ACAR";"B";"";"acylcarnitine";"acylcarn";"B";"";"L";"KC";"4";5;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"klinische chemie";NA
3;"ACCA";"B";"MI";"acylcarnitine/carnitine ratio";"acarn/car";"B";"";"L";"KC";"4";5;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"meting: index, quotiënt, ratio";"Beide";"klinische chemie";NA
3036;"ADMB";"B";"KW";"adalimumab (Humira) antistoffen kwant";"adalmaskw";"B";"";"L";"IM";"4";16;20;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"kwantitatief";"Beide";"immunologie/serologie";NA
